brand,model,generation,modification,base_price
Acura,MDX,I (2000—2006),3.5 4WD AT (240 л.с.),453518.5061728395
Audi,100,C3 (1982—1988),1.8 MT (90 л.с.),79222.4164222874
Audi,100,C3 (1982—1988),1.9 MT (100 л.с.),77458.68831168831
Audi,100,C4 (1990—1994),2.0 MT (115 л.с.),157921.09683794467
Audi,100,C4 (1990—1994),2.2 quattro MT (230 л.с.),515923.03846153844
Audi,100,C4 (1990—1994),2.3 MT (133 л.с.),151548.72727272726
Audi,100,C4 (1990—1994),2.8 MT (174 л.с.),156245.5132743363
Audi,80,B3 (1986—1991),1.8 MT (75 л.с.),90556.0585106383
Audi,80,B3 (1986—1991),1.8 MT (88 л.с.),89978.9480874317
Audi,80,B4 (1991—1996),1.9 D MT (90 л.с.),206538.4423076923
Audi,80,B4 (1991—1996),2.0 MT (115 л.с.),164126.83611532624
Audi,80,B4 (1991—1996),2.0 MT (90 л.с.),152483.55594002307
Audi,80,B4 (1991—1996),2.3 MT (133 л.с.),157785.04672897197
Audi,A1,8X (2010—2015),1.4 TFSI S tronic (122 л.с.),826601.3513071896
Audi,A3,8L (1996—2000),1.6 AT (101 л.с.),215545.45454545456
Audi,A3,8L (1996—2000),1.6 MT (101 л.с.),196206.7711864407
Audi,A3,8L (1996—2000),1.8 MT (150 л.с.),242545.45454545456
Audi,A3,8P рестайлинг (2004—2008),1.6 MT (102 л.с.),450933.3
Audi,A3,8P рестайлинг 2 (2008—2013),1.4 TFSI S tronic (125 л.с.),712016.821978022
Audi,A3,8V (2012—2016),1.2 TFSI S tronic (105 л.с.),896615.0930232558
Audi,A3,8V (2012—2016),1.4 TFSI S tronic (122 л.с.),1064209.7704918033
Audi,A3,8V (2012—2016),1.4 TFSI S tronic (125 л.с.),1213985.368338558
Audi,A3,8V рестайлинг (2016—2020),35 TFSI 1.4 S tronic (150 л.с.),1731697.9843260187
Audi,A4,B5 (1994—1999),1.8 MT (125 л.с.),197712.8644918444
Audi,A4,B5 (1994—1999),1.8 MT (150 л.с.),205275.45918367346
Audi,A4,B5 (1994—1999),1.8 MT (180 л.с.),195692.3076923077
