iter	Passed	Remaining
0	69	263117
1	115	219188
2	148	187707
3	186	177128
4	226	171709
5	269	170352
6	313	169847
7	366	173771
8	412	173920
9	448	169977
10	488	168219
11	528	166962
12	562	163889
13	602	162941
14	646	163013
15	692	163705
16	734	163350
17	772	162248
18	817	162637
19	851	160993
20	886	159556
21	926	159159
22	974	160088
23	1012	159296
24	1045	157848
25	1092	158521
26	1136	158787
27	1172	157926
28	1217	158264
29	1261	158548
30	1292	157199
31	1327	156319
32	1377	157260
33	1409	156114
34	1448	155821
35	1490	155833
36	1525	155110
37	1560	154455
38	1601	154411
39	1648	154961
40	1688	154800
41	1732	155060
42	1770	154659
43	1802	153898
44	1843	153851
45	1880	153449
46	1910	152547
47	1956	152898
48	1994	152693
49	2033	152501
50	2065	151841
51	2109	152055
52	2152	152160
53	2195	152274
54	2234	152121
55	2277	152251
56	2309	151687
57	2357	152102
58	2394	151852
59	2427	151327
60	2465	151148
61	2503	150941
62	2541	150746
63	2589	151180
64	2623	150731
65	2656	150294
66	2698	150346
67	2731	149894
68	2772	149899
69	2807	149573
70	2851	149767
71	2885	149429
72	2930	149607
73	2974	149777
74	3012	149611
75	3056	149760
76	3101	149942
77	3145	150108
78	3200	150750
79	3246	150977
80	3287	150954
81	3328	150935
82	3377	151267
83	3430	151746
84	3480	152123
85	3530	152467
86	3569	152337
87	3611	152339
88	3648	152145
89	3684	151902
90	3728	151981
91	3777	152267
92	3812	151968
93	3846	151637
94	3886	151592
95	3926	151501
96	3981	151978
97	4021	151911
98	4059	151751
99	4103	151834
100	4143	151758
101	4197	152196
102	4240	152212
103	4279	152069
104	4322	152124
105	4360	151953
106	4401	151923
107	4451	152191
108	4501	152434
109	4545	152486
110	4595	152730
111	4637	152699
112	4676	152586
113	4720	152627
114	4760	152533
115	4802	152535
116	4835	152211
117	4883	152390
118	4924	152330
119	4960	152125
120	4998	151976
121	5034	151782
122	5076	151754
123	5118	151751
124	5154	151548
125	5207	151855
126	5256	152038
127	5307	152254
128	5347	152188
129	5389	152145
130	5435	152233
131	5479	152275
132	5524	152325
133	5571	152414
134	5613	152392
135	5660	152502
136	5705	152551
137	5750	152605
138	5794	152611
139	5840	152695
140	5875	152468
